,__v,_id,activityHotness,coin,createdAt,favoriteCount,hashtags,hotness,id,isRetweeted,language,links,mentions,publishedAt,retweetCount,symbols,text,twitteratiScore,updatedAt,url,username
31,0,5f38fb533f41d800182528f3,0.0,59cb59e81c073f09e76f614b,2020-08-16T09:24:35.271Z,0,[],73957.56800925925,1294928003554848771,False,en,['https://twitter.com/jespow/status/1294428702206377985'],[],2020-08-16T09:24:29.000Z,0,[],Where your ability to protect yourself and your assets begins. 🛡️ https://t.co/0ZsRk5dUQw,0,2020-08-16T09:24:35.271Z,https://cryptocontrol.io/r/api/tweet/5f38fb533f41d800182528f3?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
32,0,5f3645c554267d0019856603,5.752572638825633,59cb59e81c073f09e76f614b,2020-08-14T08:05:25.863Z,0,[],73954.56470226846,1294134747686252544,True,en,[],['real_vijay'],2020-08-14T04:52:22.000Z,70,[],"RT @real_vijay: Crypto-currencies do not compete on their technological attributes; they compete on their monetary attributes. 

Technology…",0,2020-08-14T08:05:25.863Z,https://cryptocontrol.io/r/api/tweet/5f3645c554267d0019856603?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
33,0,5f35dcc6f0cdb10017acfcc6,5.375278407684165,59cb59e81c073f09e76f614b,2020-08-14T00:37:26.780Z,0,[],73953.47273211139,1294069999229972482,True,en,[],['pwuille'],2020-08-14T00:35:05.000Z,48,[],"RT @pwuille: Dear reporters,

Stop writing that ""Bitcoin smart contracts are getting easier to write"". No, they're not even things you writ…",0,2020-08-14T00:37:26.780Z,https://cryptocontrol.io/r/api/tweet/5f35dcc6f0cdb10017acfcc6?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
34,0,5f33a2c65ab17700172ceaff,6.0579542883768145,59cb59e81c073f09e76f614b,2020-08-12T08:05:26.085Z,0,[],73947.08911169578,1293429817354919937,True,en,['https://medium.com/@nusenu/how-malicious-tor-relays-are-exploiting-users-in-2020-part-i-1097575c0cac'],['mrkoot'],2020-08-12T06:11:13.000Z,95,[],"RT @mrkoot: How Malicious Tor Relays are Exploiting Users in 2020 - Part I (Aug 9) https://t.co/tLpxHkh9Pw 

Alleges &gt;23% of the Tor networ…",0,2020-08-12T08:05:26.085Z,https://cryptocontrol.io/r/api/tweet/5f33a2c65ab17700172ceaff?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
35,0,5f3300ca548746001b82d4b6,5.7439642642890325,59cb59e81c073f09e76f614b,2020-08-11T20:34:18.784Z,162,['Bitcoin'],73945.14563093096,1293282190638415872,False,en,['https://twitter.com/i/web/status/1293282190638415872'],[],2020-08-11T20:24:36.000Z,37,[],"$1,920 $GOLD &amp; $9,900 #Bitcoin on July 27th.
                                       vs.
$1,920 $GOLD &amp; $11,260… https://t.co/8cctg7T4dZ",0,2020-08-11T20:34:18.784Z,https://cryptocontrol.io/r/api/tweet/5f3300ca548746001b82d4b6?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
36,0,5f32b9a279f6ad001903db75,6.4457198193855785,59cb59e81c073f09e76f614b,2020-08-11T15:30:42.182Z,0,['Bitcoin'],73945.00502537494,1293205872563429377,True,en,[],['gaborgurbacs'],2020-08-11T15:21:21.000Z,140,[],RT @gaborgurbacs: Publicly traded company MicroStrategy adopts #Bitcoin as a treasury reserve asset to hedge against fiat inflation. MicroS…,0,2020-08-11T15:30:42.182Z,https://cryptocontrol.io/r/api/tweet/5f32b9a279f6ad001903db75?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
37,0,5f32fd09548746001b82acb4,5.474369310328396,59cb59e81c073f09e76f614b,2020-08-11T20:18:17.882Z,0,"['Bitcoin', 'SP500']",73944.8409896807,1293279011947393027,True,en,[],['gaborgurbacs'],2020-08-11T20:11:59.000Z,53,[],RT @gaborgurbacs: I just published “#Bitcoin: Less Volatile Than Many #SP500 Stocks?” We found that Bitcoin has exhibited lower volatility…,0,2020-08-11T20:18:17.882Z,https://cryptocontrol.io/r/api/tweet/5f32fd09548746001b82acb4?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
38,0,5f32fd09548746001b82acb3,5.059425458265688,59cb59e81c073f09e76f614b,2020-08-11T20:18:17.882Z,0,['Bitcoin'],73944.4277587916,1293279168319434759,True,und,[],['Xentagz'],2020-08-11T20:12:36.000Z,35,[],RT @Xentagz: #Bitcoin https://t.co/JgzuHZK5MM,0,2020-08-11T20:18:17.882Z,https://cryptocontrol.io/r/api/tweet/5f32fd09548746001b82acb3?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
39,0,5f32b9a279f6ad001903db73,4.69866052907543,59cb59e81c073f09e76f614b,2020-08-11T15:30:42.182Z,47,[],73943.26671608463,1293206664217341953,False,en,['https://twitter.com/i/web/status/1293206664217341953'],[],2020-08-11T15:24:30.000Z,15,[],"Very interesting what the market thinks in this negative real rate environment when your publicly traded company,… https://t.co/Hlu3GNurAh",0,2020-08-11T15:30:42.182Z,https://cryptocontrol.io/r/api/tweet/5f32b9a279f6ad001903db73?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
40,0,5f3195d37e3b3f001a1dad25,5.886104031450156,59cb59e81c073f09e76f614b,2020-08-10T18:45:39.671Z,150,['Bitcoin'],73940.9830021796,1292892187966013441,False,en,[],['JackMa'],2020-08-10T18:34:53.000Z,50,[],"""Behind the #Bitcoin, the technology itself, really very powerful."" @JackMa https://t.co/U2onDo5bis",0,2020-08-10T18:45:39.671Z,https://cryptocontrol.io/r/api/tweet/5f3195d37e3b3f001a1dad25?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
41,0,5f2faa933515f6001a97146d,6.645740953278934,59cb59e81c073f09e76f614b,2020-08-09T07:49:39.590Z,0,['Bitcoin'],73935.80356502735,1292354128572751872,True,en,[],['tylerwinklevoss'],2020-08-09T06:56:49.000Z,171,[],RT @tylerwinklevoss: I love it when #Bitcoin starts getting boring at close to 12k. Bodes quite well.,0,2020-08-09T07:49:39.590Z,https://cryptocontrol.io/r/api/tweet/5f2faa933515f6001a97146d?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
42,0,5f28f705c0c526001a1683bb,4.33729074083249,59cb59e81c073f09e76f614b,2020-08-04T05:49:57.782Z,0,[],73913.29340185194,1290523913127186432,True,en,[],['wtogami'],2020-08-04T05:44:12.000Z,17,[],RT @wtogami: Looking at my several public listening full nodes all of my incoming connection slots are full. This is despite iptables limit…,0,2020-08-04T05:49:57.782Z,https://cryptocontrol.io/r/api/tweet/5f28f705c0c526001a1683bb?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
43,0,5f273a8f66d44f0018ca6a97,7.379008127628304,59cb59e81c073f09e76f614b,2020-08-02T22:13:35.358Z,0,"['bitcoin', 'UASF']",73906.83720257207,1289663430836723713,True,en,[],['adam3us'],2020-08-01T20:44:57.000Z,356,[],"RT @adam3us: happy #bitcoin independence day bitcoiners. #UASF
never forget. onwards. upwards.",0,2020-08-02T22:13:35.358Z,https://cryptocontrol.io/r/api/tweet/5f273a8f66d44f0018ca6a97?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
44,0,5f273a8f66d44f0018ca6a99,6.616065185132817,59cb59e81c073f09e76f614b,2020-08-02T22:13:35.358Z,0,[],73906.07393555551,1289663402579820545,True,en,['https://bitcoincore.org/bin/bitcoin-core-0.20.1/'],['bitcoincoreorg'],2020-08-01T20:44:50.000Z,166,[],"RT @bitcoincoreorg: Bitcoin Core 0.20.1 was released
It is available from https://t.co/Uy9NJ11mih (main website update pending)
Release mai…",0,2020-08-02T22:13:35.358Z,https://cryptocontrol.io/r/api/tweet/5f273a8f66d44f0018ca6a99?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
45,0,5f273a8f66d44f0018ca6a98,5.1149953094204985,59cb59e81c073f09e76f614b,2020-08-02T22:13:35.358Z,0,[],73901.62036567979,1289395914881171456,True,en,[],['CoinDesk'],2020-08-01T03:01:56.000Z,37,[],"RT @CoinDesk: FULL STORY: Florida prosecutors are charging 17-year-old Graham Clark as an adult with 30 felony counts, alleging masterminde…",0,2020-08-02T22:13:35.358Z,https://cryptocontrol.io/r/api/tweet/5f273a8f66d44f0018ca6a98?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
46,0,5f08c9850b40f10019eed873,5.614951260949585,59cb59e81c073f09e76f614b,2020-07-10T20:03:17.778Z,0,[],73816.93921052021,1281678764838092803,True,en,[],"['ChrisRossini', 'mises']",2020-07-10T19:56:44.000Z,61,[],"RT @ChrisRossini: ""Economics cannot be faked, ignored, or legislated away any more than physics or chemistry. Economics, as @mises understo…",0,2020-07-10T20:03:17.778Z,https://cryptocontrol.io/r/api/tweet/5f08c9850b40f10019eed873?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
47,0,5f08c9850b40f10019eed872,4.836281906951478,59cb59e81c073f09e76f614b,2020-07-10T20:03:17.778Z,0,[],73816.16248561065,1281678942295007234,True,en,[],['matt_odell'],2020-07-10T19:57:26.000Z,28,[],"RT @matt_odell: Individuals will naturally seek out defensive technology when they realize the need to defend themselves.

This has been tr…",0,2020-07-10T20:03:17.778Z,https://cryptocontrol.io/r/api/tweet/5f08c9850b40f10019eed872?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
48,0,5eff72350b40f10019a30948,7.761744984658913,59cb59e81c073f09e76f614b,2020-07-03T18:00:21.282Z,0,[],73790.51790239206,1279090580744740868,True,en,[],['TuurDemeester'],2020-07-03T16:32:13.000Z,522,[],RT @TuurDemeester: Imo there is no stock market recovery - it's all inflation. US stocks denominated in gold: https://t.co/DezhQ3EYPT,0,2020-07-03T18:00:21.282Z,https://cryptocontrol.io/r/api/tweet/5eff72350b40f10019a30948?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
49,0,5eff72350b40f10019a30949,6.2136075980886085,59cb59e81c073f09e76f614b,2020-07-03T18:00:21.282Z,0,['bitcoin'],73788.96703352401,1279090334132244481,True,en,[],['100trillionUSD'],2020-07-03T16:31:14.000Z,111,[],"RT @100trillionUSD: Do you think #bitcoin will reach $288K (S2FX), $100K (S2Fv2), $55K (S2Fv1) before December 2021, or will BTC stay below…",0,2020-07-03T18:00:21.282Z,https://cryptocontrol.io/r/api/tweet/5eff72350b40f10019a30949?ref=5fb2b02a5b57ac0017ac4e11,bitcoin
